City,District,SEGE_2022_Rank_Turkiye,Rank_Within_City,Dominant_Age_Groups,Population_Gender_Ratio,Household_Expenditure_Highlights,Business_Openings_2023,Business_Closures_2023,Key_Trends,Key_Opportunities,Key_Challenges
Adana,Aladağ,509,20,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",23,15,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adana,Ceyhan,848,6,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",9,17,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adana,Çukurova,816,6,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",11,26,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adana,Feke,723,16,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",24,10,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adana,İmamoğlu,736,9,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",9,10,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adana,Karaisalı,858,6,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",10,13,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adana,Karataş,729,17,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",24,27,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adana,Kozan,775,17,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",12,21,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adana,Pozantı,663,17,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",16,18,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adana,Saimbeyli,842,20,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",24,11,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adana,Sarıçam,547,13,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",24,27,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adana,Seyhan,98,3,Working Class Families (25-55),Balanced,"Spending focused on home goods, transportation, education, and retail.",96,101,"Dominated by industry, manufacturing, and logistics. Growth in supporting service sectors.","Vocational training, modern worker housing, supply chain services, affordable family entertainment.","Infrastructure strain, environmental pollution, skilled labor shortages."
Adana,Tufanbeyli,690,9,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",5,21,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adana,Yumurtalık,525,8,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",17,17,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adana,Yüreğir,60,3,Working Class Families (25-55),Balanced,"Spending focused on home goods, transportation, education, and retail.",187,131,"Dominated by industry, manufacturing, and logistics. Growth in supporting service sectors.","Vocational training, modern worker housing, supply chain services, affordable family entertainment.","Infrastructure strain, environmental pollution, skilled labor shortages."
Adıyaman,Besni,782,11,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",5,15,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adıyaman,Çelikhan,797,11,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",8,18,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adıyaman,Gerger,904,11,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",22,19,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adıyaman,Gölbaşı,963,5,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",16,26,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adıyaman,Kahta,868,14,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",23,24,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adıyaman,Merkez,278,4,"Mixed Population, slight aging trend",Balanced,"Focus on basic necessities, local retail, and agriculture-related products.",41,38,"Stagnant local economy, with some growth from being the provincial administrative center.","Modernizing local agriculture, government service support, local product branding.","Limited employment opportunities, brain drain to larger cities, underdeveloped infrastructure."
Adıyaman,Samsat,953,19,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",8,28,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adıyaman,Sincik,541,14,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",20,27,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Adıyaman,Tut,903,15,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",6,21,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Afyonkarahisar,Başmakçı,696,11,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",12,14,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Afyonkarahisar,Bayat,850,5,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",11,24,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Afyonkarahisar,Bolvadin,579,5,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",25,26,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Afyonkarahisar,Çay,972,12,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",5,26,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Afyonkarahisar,Çobanlar,888,18,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",10,16,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Afyonkarahisar,Dazkırı,973,9,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",22,15,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Afyonkarahisar,Dinar,851,15,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",21,18,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Afyonkarahisar,Emirdağ,568,13,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",17,24,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Afyonkarahisar,Evciler,937,7,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",6,16,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Afyonkarahisar,Hocalar,510,9,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",19,25,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
